dose,MIC,PTA_Cmax_MIC,PTA_AUC_MIC,PTA_trough,PTA_combined,n_patients
850,0.5,1.0,0.9056603773584906,0.8490566037735849,0.7735849056603774,53
850,1.0,1.0,0.9056603773584906,0.8490566037735849,0.7735849056603774,53
850,2.0,1.0,0.9056603773584906,0.8490566037735849,0.7735849056603774,53
850,4.0,1.0,0.8867924528301887,0.8490566037735849,0.7735849056603774,53
850,8.0,0.1509433962264151,0.2830188679245283,0.8490566037735849,0.03773584905660377,53
850,16.0,0.0,0.018867924528301886,0.8490566037735849,0.0,53
900,0.25,1.0,0.9113924050632911,0.8734177215189873,0.8227848101265823,79
900,0.5,1.0,0.9113924050632911,0.8734177215189873,0.8227848101265823,79
900,1.0,1.0,0.8860759493670886,0.8734177215189873,0.7974683544303798,79
900,2.0,1.0,0.8860759493670886,0.8734177215189873,0.7974683544303798,79
900,4.0,0.9873417721518988,0.8227848101265823,0.8734177215189873,0.7341772151898734,79
900,8.0,0.22784810126582278,0.27848101265822783,0.8734177215189873,0.08860759493670886,79
900,16.0,0.0,0.02531645569620253,0.8734177215189873,0.0,79
950,0.25,1.0,0.8875,0.8625,0.775,80
950,0.5,1.0,0.8875,0.8625,0.775,80
950,1.0,1.0,0.875,0.8625,0.7625,80
950,2.0,1.0,0.875,0.8625,0.7625,80
950,4.0,1.0,0.875,0.8625,0.7625,80
950,8.0,0.225,0.4125,0.8625,0.125,80
950,16.0,0.0,0.0125,0.8625,0.0,80
1000,0.25,1.0,0.95,0.85,0.82,100
1000,0.5,1.0,0.95,0.85,0.82,100
1000,1.0,1.0,0.94,0.85,0.81,100
1000,2.0,1.0,0.94,0.85,0.81,100
1000,4.0,1.0,0.9,0.85,0.77,100
1000,8.0,0.21,0.3,0.85,0.09,100
1000,16.0,0.0,0.01,0.85,0.0,100
1050,0.25,1.0,0.8990825688073395,0.8348623853211009,0.7706422018348624,109
1050,0.5,1.0,0.8990825688073395,0.8348623853211009,0.7706422018348624,109
1050,1.0,1.0,0.8990825688073395,0.8348623853211009,0.7706422018348624,109
1050,2.0,1.0,0.8807339449541285,0.8348623853211009,0.7522935779816514,109
1050,4.0,1.0,0.8532110091743119,0.8348623853211009,0.7247706422018348,109
1050,8.0,0.21100917431192662,0.3761467889908257,0.8348623853211009,0.13761467889908258,109
1050,16.0,0.0,0.027522935779816515,0.8348623853211009,0.0,109
1100,0.25,1.0,0.967032967032967,0.8461538461538461,0.8131868131868132,91
1100,0.5,1.0,0.967032967032967,0.8461538461538461,0.8131868131868132,91
1100,1.0,1.0,0.967032967032967,0.8461538461538461,0.8131868131868132,91
1100,2.0,1.0,0.945054945054945,0.8461538461538461,0.7912087912087912,91
1100,4.0,1.0,0.9120879120879121,0.8461538461538461,0.7692307692307693,91
1100,8.0,0.37362637362637363,0.4065934065934066,0.8461538461538461,0.23076923076923078,91
1100,16.0,0.0,0.02197802197802198,0.8461538461538461,0.0,91
1150,0.25,1.0,0.9393939393939394,0.9191919191919192,0.8585858585858586,99
1150,0.5,1.0,0.9393939393939394,0.9191919191919192,0.8585858585858586,99
1150,1.0,1.0,0.9393939393939394,0.9191919191919192,0.8585858585858586,99
1150,2.0,1.0,0.9292929292929293,0.9191919191919192,0.8484848484848485,99
1150,4.0,0.98989898989899,0.9090909090909091,0.9191919191919192,0.8282828282828283,99
1150,8.0,0.30303030303030304,0.40404040404040403,0.9191919191919192,0.1919191919191919,99
1150,16.0,0.0,0.0,0.9191919191919192,0.0,99
1200,0.25,1.0,0.9642857142857143,0.8452380952380952,0.8095238095238095,84
1200,0.5,1.0,0.9642857142857143,0.8452380952380952,0.8095238095238095,84
1200,1.0,1.0,0.9523809523809523,0.8452380952380952,0.7976190476190477,84
1200,2.0,1.0,0.9404761904761905,0.8452380952380952,0.7857142857142857,84
1200,4.0,1.0,0.9166666666666666,0.8452380952380952,0.7619047619047619,84
1200,8.0,0.38095238095238093,0.47619047619047616,0.8452380952380952,0.23809523809523808,84
1200,16.0,0.0,0.011904761904761904,0.8452380952380952,0.0,84
1250,0.25,1.0,0.9402985074626866,0.8059701492537313,0.7761194029850746,67
1250,0.5,1.0,0.9253731343283582,0.8059701492537313,0.7611940298507462,67
1250,1.0,1.0,0.9104477611940298,0.8059701492537313,0.746268656716418,67
1250,2.0,1.0,0.9104477611940298,0.8059701492537313,0.746268656716418,67
1250,4.0,1.0,0.9104477611940298,0.8059701492537313,0.746268656716418,67
1250,8.0,0.47761194029850745,0.582089552238806,0.8059701492537313,0.31343283582089554,67
1250,16.0,0.0,0.05970149253731343,0.8059701492537313,0.0,67
1300,0.25,1.0,0.9833333333333333,0.85,0.8333333333333334,60
1300,0.5,1.0,0.9666666666666667,0.85,0.8166666666666667,60
1300,1.0,1.0,0.9666666666666667,0.85,0.8166666666666667,60
1300,2.0,1.0,0.9666666666666667,0.85,0.8166666666666667,60
1300,4.0,1.0,0.95,0.85,0.8,60
1300,8.0,0.45,0.5333333333333333,0.85,0.26666666666666666,60
1300,16.0,0.0,0.016666666666666666,0.85,0.0,60
1350,0.25,1.0,0.9523809523809523,0.8333333333333334,0.8095238095238095,42
1350,0.5,1.0,0.9523809523809523,0.8333333333333334,0.8095238095238095,42
1350,1.0,1.0,0.9285714285714286,0.8333333333333334,0.8095238095238095,42
1350,2.0,1.0,0.9047619047619048,0.8333333333333334,0.7857142857142857,42
1350,4.0,1.0,0.8809523809523809,0.8333333333333334,0.7619047619047619,42
1350,8.0,0.3333333333333333,0.42857142857142855,0.8333333333333334,0.23809523809523808,42
1350,16.0,0.0,0.047619047619047616,0.8333333333333334,0.0,42
1400,0.25,1.0,0.9259259259259259,0.9259259259259259,0.8518518518518519,27
1400,0.5,1.0,0.9259259259259259,0.9259259259259259,0.8518518518518519,27
1400,1.0,1.0,0.9259259259259259,0.9259259259259259,0.8518518518518519,27
1400,2.0,1.0,0.8888888888888888,0.9259259259259259,0.8518518518518519,27
1400,4.0,1.0,0.8888888888888888,0.9259259259259259,0.8518518518518519,27
1400,8.0,0.5185185185185185,0.5185185185185185,0.9259259259259259,0.25925925925925924,27
1400,16.0,0.0,0.0,0.9259259259259259,0.0,27
1450,0.25,1.0,0.9545454545454546,0.9545454545454546,0.9090909090909091,22
1450,0.5,1.0,0.9545454545454546,0.9545454545454546,0.9090909090909091,22
1450,1.0,1.0,0.9545454545454546,0.9545454545454546,0.9090909090909091,22
1450,2.0,1.0,0.9545454545454546,0.9545454545454546,0.9090909090909091,22
1450,4.0,1.0,0.9545454545454546,0.9545454545454546,0.9090909090909091,22
1450,8.0,0.5909090909090909,0.5454545454545454,0.9545454545454546,0.36363636363636365,22
1450,16.0,0.0,0.0,0.9545454545454546,0.0,22
1500,0.25,1.0,0.8918918918918919,0.7837837837837838,0.6756756756756757,37
1500,0.5,1.0,0.8648648648648649,0.7837837837837838,0.6486486486486487,37
1500,1.0,1.0,0.8378378378378378,0.7837837837837838,0.6216216216216216,37
1500,2.0,1.0,0.8378378378378378,0.7837837837837838,0.6216216216216216,37
1500,4.0,1.0,0.8108108108108109,0.7837837837837838,0.5945945945945946,37
1500,8.0,0.5945945945945946,0.5135135135135135,0.7837837837837838,0.2702702702702703,37
1500,16.0,0.0,0.0,0.7837837837837838,0.0,37
1550,0.25,1.0,0.9166666666666666,0.8333333333333334,0.75,12
1550,0.5,1.0,0.9166666666666666,0.8333333333333334,0.75,12
1550,1.0,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,12
1550,2.0,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666,12
1550,4.0,1.0,0.75,0.8333333333333334,0.5833333333333334,12
1550,8.0,0.8333333333333334,0.5833333333333334,0.8333333333333334,0.4166666666666667,12
1550,16.0,0.0,0.08333333333333333,0.8333333333333334,0.0,12
1600,0.25,1.0,0.9,1.0,0.9,10
1600,0.5,1.0,0.9,1.0,0.9,10
1600,1.0,1.0,0.9,1.0,0.9,10
1600,2.0,1.0,0.9,1.0,0.9,10
1600,4.0,1.0,0.8,1.0,0.8,10
1600,8.0,0.6,0.7,1.0,0.4,10
1600,16.0,0.0,0.1,1.0,0.0,10
1650,0.25,1.0,1.0,1.0,1.0,3
1650,0.5,1.0,1.0,1.0,1.0,3
1650,1.0,1.0,1.0,1.0,1.0,3
1650,2.0,1.0,1.0,1.0,1.0,3
1650,4.0,1.0,1.0,1.0,1.0,3
1650,8.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,3
1650,16.0,0.0,0.0,1.0,0.0,3
1700,0.25,1.0,1.0,1.0,1.0,1
1700,0.5,1.0,1.0,1.0,1.0,1
1700,1.0,1.0,1.0,1.0,1.0,1
1700,2.0,1.0,1.0,1.0,1.0,1
1700,4.0,1.0,1.0,1.0,1.0,1
1700,8.0,1.0,1.0,1.0,1.0,1
1700,16.0,0.0,0.0,1.0,0.0,1
1750,0.25,1.0,0.6666666666666666,1.0,0.6666666666666666,3
1750,0.5,1.0,0.6666666666666666,1.0,0.6666666666666666,3
1750,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,3
1750,2.0,1.0,0.6666666666666666,1.0,0.6666666666666666,3
1750,4.0,1.0,0.6666666666666666,1.0,0.6666666666666666,3
1750,8.0,0.0,0.3333333333333333,1.0,0.0,3
1750,16.0,0.0,0.0,1.0,0.0,3
1900,0.25,1.0,1.0,1.0,1.0,1
1900,0.5,1.0,1.0,1.0,1.0,1
1900,1.0,1.0,1.0,1.0,1.0,1
1900,2.0,1.0,1.0,1.0,1.0,1
1900,4.0,1.0,1.0,1.0,1.0,1
1900,8.0,1.0,1.0,1.0,1.0,1
1900,16.0,0.0,0.0,1.0,0.0,1
1950,0.25,1.0,1.0,0.0,0.0,1
1950,0.5,1.0,1.0,0.0,0.0,1
1950,1.0,1.0,1.0,0.0,0.0,1
1950,2.0,1.0,1.0,0.0,0.0,1
1950,4.0,1.0,1.0,0.0,0.0,1
1950,8.0,1.0,1.0,0.0,0.0,1
1950,16.0,0.0,0.0,0.0,0.0,1
